text,label
I love this product it works perfectly,positive
This is the best day of my life,positive
Amazing service and great quality,positive
I am so happy with this purchase,positive
Excellent experience highly recommend,positive
This made me smile all day,positive
Fantastic app very easy to use,positive
I really enjoyed using this,positive
Great job team keep it up,positive
This is wonderful thank you so much,positive
It is okay nothing special,neutral
The product is fine average quality,neutral
I have no strong opinion about this,neutral
It works as expected nothing more,neutral
This is a normal regular day,neutral
The meeting was neither good nor bad,neutral
It arrived on time as scheduled,neutral
The item matches the description,neutral
Nothing unusual happened today,neutral
This is a standard update,neutral
I hate this product it is terrible,negative
Worst experience of my life,negative
This is a complete waste of money,negative
I am extremely disappointed with this,negative
The service was very poor,negative
This app keeps crashing constantly,negative
I regret buying this item,negative
Very bad quality do not buy,negative
This ruined my entire day,negative
Terrible support and slow response,negative
I love the new update it is fast,positive
This app is so slow and buggy,negative
Not bad but could be better,neutral
Absolutely fantastic I am impressed,positive
This is disgusting and unacceptable,negative
The delivery was on schedule,neutral
I am thrilled with the results,positive
This broke after one day,negative
It is decent for the price,neutral
Horrible customer service experience,negative
I am overjoyed with this gift,positive
